app_id,day,cost,value,data_used,data_sent,requests_made,cost_per_request_made,cost_per_request_received,data_per_request,data_sent_per_received,data_used_per_received,requests_per_business_hour,requests_per_hour,requests_received,value_per_cost,cost_per_request,value_per_cost,data_per_request
SELENE,2024-06-01,158758.2500000005,4646.0999999999985,4646.100000000008,4646.0999999999985,5490.0,28.917714025501002,86.753142076503,0.8462841530054659,2.538852459016393,2.5388524590163977,296.8,228.75,1830.0,0.02926525078224271,28.917714025501002,0.02926525078224271,0.8462841530054659
AWS,2024-06-01,0.0,1342.6499999999983,0.0,1342.6499999999983,0.0,0.0,0.0,0.0,0.2919439008480101,0.0,185.5,0.0,4599.0,1342649999999.9983,0.0,1342649999999.9983,0.0
DBRCKS,2024-06-01,0.0,3673.200000000003,0.0,3673.200000000003,0.0,0.0,0.0,0.0,1.0727803738317765,0.0,138.5,0.0,3424.0,3673200000000.003,0.0,3673200000000.003,0.0
SNWFLK,2024-06-01,0.0,2185.6499999999983,0.0,2185.6499999999983,0.0,0.0,0.0,0.0,0.9675298804780869,0.0,90.6,0.0,2259.0,2185649999999.998,0.0,2185649999999.998,0.0
FRDETCT,2024-06-01,11736.2,176.24999999999997,268.05,176.24999999999997,192.0,61.12604166666667,286.2487804878049,1.3960937500000001,4.298780487804877,6.537804878048781,11.6,8.0,41.0,0.015017637736234895,61.12604166666667,0.015017637736234895,1.3960937500000001
HMFRP,2024-06-01,33386.75000000018,231.45000000000283,231.45000000000283,231.45000000000283,1789.0,18.66224147568484,18.66224147568484,0.12937395192845322,0.12937395192845322,0.12937395192845322,143.2,74.54166666666667,1789.0,0.006932390843673061,18.66224147568484,0.006932390843673061,0.12937395192845322
AZURE,2024-06-01,0.0,512.9999999999976,0.0,512.9999999999976,0.0,0.0,0.0,0.0,0.16797642436149235,0.0,122.5,0.0,3054.0,512999999999.99756,0.0,512999999999.99756,0.0
POSIDN,2024-06-01,43317.699999999946,919.3499999999998,919.3499999999874,919.3499999999998,1438.0,30.123574408901213,60.247148817802426,0.6393254520166811,1.2786509040333793,1.2786509040333622,87.0,59.916666666666664,719.0,0.021223425989837893,30.123574408901213,0.021223425989837893,0.6393254520166811
KAFKA,2024-06-01,20803.949999999997,247.9500000000002,247.9500000000002,247.9500000000002,507.0,41.03343195266272,41.03343195266272,0.4890532544378702,0.4890532544378702,0.4890532544378702,42.2,21.125,507.0,0.011918409725076259,41.03343195266272,0.011918409725076259,0.4890532544378702
COHORT,2024-06-01,3876.100000000001,0.0,85.95000000000005,0.0,78.0,49.693589743589754,0.0,1.1019230769230774,0.0,0.0,4.2,3.25,0.0,0.0,49.693589743589754,0.0,1.1019230769230774
AIRFLW,2024-06-01,19309.95,0.0,0.0,0.0,829.0,23.293063932448735,23.293063932448735,0.0,0.0,0.0,66.0,34.541666666666664,829.0,0.0,23.293063932448735,0.0,0.0
