app_id,month,cost,value,data_used,data_sent,requests_made,requests_received,cost_per_request_made,cost_per_request_received,data_per_request,data_sent_per_received,data_used_per_received,outage_cost,outage_count,outage_duration,outage_efficiency,outage_frequency,outage_impact,outage_severity,rate_of_return,requests_per_business_hour,requests_per_hour,cost_per_request,value_per_cost,data_per_request
SELENE,2024-08,1219070.7999999553,35701.04999999981,35701.049999999675,35701.04999999981,41964.0,13988.0,29.050395577160312,87.15118673148093,0.8507542179010503,2.5522626537031603,2.552262653703151,0.0,2.0,205.0,0.0,1.0,0.0,102.5,0.029285460696787353,264.6666666666667,194.27777777777777,29.050395577160312,0.029285460696787353,0.8507542179010503
AWS,2024-08,0.0,10423.349999999726,0.0,10423.349999999726,0.0,35749.0,0.0,0.0,0.0,0.291570393577435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.36666666666667,0.0,0.0,10423349999999.725,0.0
DBRCKS,2024-08,0.0,27726.45000000023,0.0,27726.45000000023,0.0,25793.0,0.0,0.0,0.0,1.0749602605358133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.88888888888889,0.0,0.0,27726450000000.227,0.0
SNWFLK,2024-08,0.0,17358.6,0.0,17358.6,0.0,17780.0,0.0,0.0,0.0,0.9762992125984251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.47777777777777,0.0,0.0,17358599999999.998,0.0
RISKMG,2024-08,67964.55000000002,0.0,1541.5499999999988,0.0,606.0,0.0,112.15272277227726,0.0,2.543811881188117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.8055555555555554,112.15272277227726,0.0,2.543811881188117
FRDETCT,2024-08,103696.05000000009,1651.3499999999997,2362.799999999995,1651.3499999999997,1656.0,385.0,62.618387681159476,269.3403896103898,1.4268115942028956,4.289220779220779,6.137142857142845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015924907457902187,9.333333333333334,7.666666666666667,62.618387681159476,0.015924907457902187,1.4268115942028956
HMFRP,2024-08,254702.1000000158,1850.6999999999978,1850.6999999999978,1850.6999999999978,13606.0,13606.0,18.719836836690856,18.719836836690856,0.13602087314420092,0.13602087314420092,0.13602087314420092,0.0,7.0,2170.0,0.0,1.0,0.0,310.0,0.007266135614900242,129.13333333333333,62.99074074074074,18.719836836690856,0.007266135614900242,0.13602087314420092
AZURE,2024-08,0.0,3959.4000000004385,0.0,3959.4000000004385,0.0,23300.0,0.0,0.0,0.0,0.16993133047212183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.55555555555556,0.0,0.0,3959400000000.438,0.0
POSIDN,2024-08,320633.1500000084,6822.599999999986,6822.600000000019,6822.599999999986,10660.0,5330.0,30.078156660413548,60.156313320827095,0.6400187617260805,1.280037523452155,1.280037523452161,0.0,3.0,490.0,0.0,1.0,0.0,163.33333333333334,0.021278523446498925,75.86666666666666,49.351851851851855,30.078156660413548,0.021278523446498925,0.6400187617260805
KAFKA,2024-08,165780.04999999938,1964.5500000000036,1964.5500000000036,1964.5500000000036,4056.0,4056.0,40.872793392504775,40.872793392504775,0.48435650887574055,0.48435650887574055,0.48435650887574055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185034025505488,37.13333333333333,18.77777777777778,40.872793392504775,0.01185034025505488,0.48435650887574055
